company,abi,address_line_1,city,state,zipcode,latitude,longitude,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,year_established
bjs,406145760,1433 BOONE STATION DR,BURLINGTON,NC,27215,36.069715,-79.514075,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
bjs,407731899,1 MERCER RD,NATICK,MA,01760,42.297205,-71.38512,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,
bjs,410573773,1707 TIVERTON ST,WINTER SPRINGS,FL,32708,28.67725,-81.24021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
bjs,411554936,6 BOXWOOD CT,NASHUA,NH,03063,42.75836,-71.52363,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
bjs,411619139,30 S STATE ST,HACKENSACK,NJ,07601,40.88757,-74.04902,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
bjs,411620939,152 ROUTE 73,VOORHEES,NJ,08043,39.83539,-74.9248666666667,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,
bjs,411799546,1490 ROSEDALE AVE,BRONX,NY,10460,40.83762,-73.86975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
bjs,412719540,300 STATE HWY NO 17,RUTHERFORD,NJ,07070,40.82887,-74.10957,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
bjs,413373416,400 RIVER RD,UTICA,NY,13502,43.1074933333333,-75.2302866666667,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
bjs,413373416,400 RIVERSIDE CTR # 2,UTICA,NY,13502,43.12693,-75.22072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
bjs,413820337,125 GREEN ACRES RD,VALLEY STR,NY,11581,40.66088,-73.72199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,413820337,125 GREEN ACRES RD,VALLEY STREAM,NY,11581,40.661215,-73.72237,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
bjs,414319525,413 CONSTANT FRIENDSHIP BLVD,ABINGDON,MD,21009,39.45427,-76.31974,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,
bjs,414466399,1106 SHOPS WAY,NORTHBOROUGH,MA,01532,42.28944,-71.67264,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
